,year,month,day,births,day_of_year,day_of_week,dt,t,s,spec_01_01,spec_02_14,spec_02_29,spec_04_01,spec_07_04,spec_10_31,spec_12_25,spec_12_26,spec_12_27,spec_12_28,spec_12_29,spec_12_30,spec_12_31,weekend
24,1969,1,25,9022,25,6,1969-01-25,25.0,25.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,1969,1,26,8568,26,7,1969-01-26,26.0,26.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
26,1969,1,27,9910,27,1,1969-01-27,27.0,27.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,1969,1,28,10032,28,2,1969-01-28,28.0,28.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,1969,1,29,9380,29,3,1969-01-29,29.0,29.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,1969,1,30,9674,30,4,1969-01-30,30.0,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,1969,1,31,9692,31,5,1969-01-31,31.0,31.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,1969,2,1,9130,32,6,1969-02-01,32.0,32.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,1969,2,2,8814,33,7,1969-02-02,33.0,33.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
33,1969,2,3,9988,34,1,1969-02-03,34.0,34.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,1969,2,4,9996,35,2,1969-02-04,35.0,35.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,1969,2,5,9676,36,3,1969-02-05,36.0,36.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,1969,2,6,9728,37,4,1969-02-06,37.0,37.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,1969,2,7,10102,38,5,1969-02-07,38.0,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,1969,2,8,9262,39,6,1969-02-08,39.0,39.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39,1969,2,9,8694,40,7,1969-02-09,40.0,40.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40,1969,2,10,9954,41,1,1969-02-10,41.0,41.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,1969,2,11,9856,42,2,1969-02-11,42.0,42.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,1969,2,12,10008,43,3,1969-02-12,43.0,43.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,1969,2,13,9606,44,4,1969-02-13,44.0,44.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,1969,2,14,10354,45,5,1969-02-14,45.0,45.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
45,1969,2,15,9310,46,6,1969-02-15,46.0,46.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
46,1969,2,16,8534,47,7,1969-02-16,47.0,47.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
47,1969,2,17,9822,48,1,1969-02-17,48.0,48.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,1969,2,18,10176,49,2,1969-02-18,49.0,49.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,1969,2,19,9816,50,3,1969-02-19,50.0,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,1969,2,20,9982,51,4,1969-02-20,51.0,51.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,1969,2,21,9916,52,5,1969-02-21,52.0,52.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,1969,2,22,9152,53,6,1969-02-22,53.0,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,1969,2,23,8704,54,7,1969-02-23,54.0,54.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
54,1969,2,24,9966,55,1,1969-02-24,55.0,55.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,1969,2,25,10566,56,2,1969-02-25,56.0,56.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,1969,2,26,10048,57,3,1969-02-26,57.0,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,1969,2,27,9618,58,4,1969-02-27,58.0,58.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,1969,2,28,9756,59,5,1969-02-28,59.0,59.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,1969,3,1,9186,61,6,1969-03-01,60.0,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
60,1969,3,2,8580,62,7,1969-03-02,61.0,61.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
61,1969,3,3,10068,63,1,1969-03-03,62.0,62.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,1969,3,4,10264,64,2,1969-03-04,63.0,63.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,1969,3,5,10046,65,3,1969-03-05,64.0,64.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,1969,3,6,9704,66,4,1969-03-06,65.0,65.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,1969,3,7,9948,67,5,1969-03-07,66.0,66.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,1969,3,8,9334,68,6,1969-03-08,67.0,67.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
67,1969,3,9,8394,69,7,1969-03-09,68.0,68.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
68,1969,3,10,9892,70,1,1969-03-10,69.0,69.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,1969,3,11,10188,71,2,1969-03-11,70.0,70.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,1969,3,12,9776,72,3,1969-03-12,71.0,71.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,1969,3,13,9640,73,4,1969-03-13,72.0,72.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,1969,3,14,10034,74,5,1969-03-14,73.0,73.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,1969,3,15,8838,75,6,1969-03-15,74.0,74.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
74,1969,3,16,8336,76,7,1969-03-16,75.0,75.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
75,1969,3,17,10128,77,1,1969-03-17,76.0,76.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,1969,3,18,10136,78,2,1969-03-18,77.0,77.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,1969,3,19,10064,79,3,1969-03-19,78.0,78.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,1969,3,20,9812,80,4,1969-03-20,79.0,79.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,1969,3,21,9902,81,5,1969-03-21,80.0,80.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,1969,3,22,8962,82,6,1969-03-22,81.0,81.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
81,1969,3,23,8602,83,7,1969-03-23,82.0,82.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
82,1969,3,24,9802,84,1,1969-03-24,83.0,83.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,1969,3,25,10272,85,2,1969-03-25,84.0,84.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,1969,3,26,9818,86,3,1969-03-26,85.0,85.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,1969,3,27,9698,87,4,1969-03-27,86.0,86.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,1969,3,28,10326,88,5,1969-03-28,87.0,87.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,1969,3,29,8908,89,6,1969-03-29,88.0,88.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
88,1969,3,30,8186,90,7,1969-03-30,89.0,89.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
89,1969,3,31,9592,91,1,1969-03-31,90.0,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,1969,4,1,9960,92,2,1969-04-01,91.0,91.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False
91,1969,4,2,9978,93,3,1969-04-02,92.0,92.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,1969,4,3,9530,94,4,1969-04-03,93.0,93.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,1969,4,4,9572,95,5,1969-04-04,94.0,94.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,1969,4,5,8748,96,6,1969-04-05,95.0,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
95,1969,4,6,8008,97,7,1969-04-06,96.0,96.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
96,1969,4,7,9374,98,1,1969-04-07,97.0,97.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,1969,4,8,10176,99,2,1969-04-08,98.0,98.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,1969,4,9,9852,100,3,1969-04-09,99.0,99.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,1969,4,10,9708,101,4,1969-04-10,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,1969,4,11,9920,102,5,1969-04-11,101.0,101.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,1969,4,12,8940,103,6,1969-04-12,102.0,102.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
102,1969,4,13,8134,104,7,1969-04-13,103.0,103.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
103,1969,4,14,9566,105,1,1969-04-14,104.0,104.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,1969,4,15,10428,106,2,1969-04-15,105.0,105.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,1969,4,16,9840,107,3,1969-04-16,106.0,106.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
106,1969,4,17,9876,108,4,1969-04-17,107.0,107.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,1969,4,18,9872,109,5,1969-04-18,108.0,108.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,1969,4,19,8994,110,6,1969-04-19,109.0,109.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
109,1969,4,20,7928,111,7,1969-04-20,110.0,110.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
110,1969,4,21,9610,112,1,1969-04-21,111.0,111.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,1969,4,22,10226,113,2,1969-04-22,112.0,112.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
112,1969,4,23,9868,114,3,1969-04-23,113.0,113.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113,1969,4,24,9472,115,4,1969-04-24,114.0,114.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,1969,4,25,9646,116,5,1969-04-25,115.0,115.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,1969,4,26,8922,117,6,1969-04-26,116.0,116.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
116,1969,4,27,7966,118,7,1969-04-27,117.0,117.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
117,1969,4,28,9518,119,1,1969-04-28,118.0,118.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,1969,4,29,9700,120,2,1969-04-29,119.0,119.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119,1969,4,30,9138,121,3,1969-04-30,120.0,120.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,1969,5,1,9206,122,4,1969-05-01,121.0,121.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,1969,5,2,9736,123,5,1969-05-02,122.0,122.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
122,1969,5,3,8768,124,6,1969-05-03,123.0,123.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
123,1969,5,4,8094,125,7,1969-05-04,124.0,124.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
124,1969,5,5,9930,126,1,1969-05-05,125.0,125.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,1969,5,6,9964,127,2,1969-05-06,126.0,126.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,1969,5,7,9626,128,3,1969-05-07,127.0,127.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,1969,5,8,9484,129,4,1969-05-08,128.0,128.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,1969,5,9,9362,130,5,1969-05-09,129.0,129.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129,1969,5,10,8516,131,6,1969-05-10,130.0,130.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
130,1969,5,11,8122,132,7,1969-05-11,131.0,131.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
131,1969,5,12,9306,133,1,1969-05-12,132.0,132.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,1969,5,13,9862,134,2,1969-05-13,133.0,133.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133,1969,5,14,9184,135,3,1969-05-14,134.0,134.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
134,1969,5,15,9524,136,4,1969-05-15,135.0,135.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135,1969,5,16,9824,137,5,1969-05-16,136.0,136.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
136,1969,5,17,8946,138,6,1969-05-17,137.0,137.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
137,1969,5,18,8028,139,7,1969-05-18,138.0,138.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
138,1969,5,19,9494,140,1,1969-05-19,139.0,139.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139,1969,5,20,10388,141,2,1969-05-20,140.0,140.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
140,1969,5,21,9766,142,3,1969-05-21,141.0,141.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
141,1969,5,22,9406,143,4,1969-05-22,142.0,142.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,1969,5,23,9584,144,5,1969-05-23,143.0,143.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,1969,5,24,8558,145,6,1969-05-24,144.0,144.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
144,1969,5,25,8226,146,7,1969-05-25,145.0,145.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
145,1969,5,26,9840,147,1,1969-05-26,146.0,146.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
146,1969,5,27,10352,148,2,1969-05-27,147.0,147.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,1969,5,28,9938,149,3,1969-05-28,148.0,148.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,1969,5,29,10190,150,4,1969-05-29,149.0,149.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,1969,5,30,9154,151,5,1969-05-30,150.0,150.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150,1969,5,31,8640,152,6,1969-05-31,151.0,151.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
151,1969,6,1,8426,153,7,1969-06-01,152.0,152.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
152,1969,6,2,9862,154,1,1969-06-02,153.0,153.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,1969,6,3,10158,155,2,1969-06-03,154.0,154.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
154,1969,6,4,9838,156,3,1969-06-04,155.0,155.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,1969,6,5,9588,157,4,1969-06-05,156.0,156.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156,1969,6,6,10006,158,5,1969-06-06,157.0,157.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
157,1969,6,7,8814,159,6,1969-06-07,158.0,158.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
158,1969,6,8,8226,160,7,1969-06-08,159.0,159.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
159,1969,6,9,9738,161,1,1969-06-09,160.0,160.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,1969,6,10,10320,162,2,1969-06-10,161.0,161.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
161,1969,6,11,9950,163,3,1969-06-11,162.0,162.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
162,1969,6,12,10220,164,4,1969-06-12,163.0,163.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
163,1969,6,13,9852,165,5,1969-06-13,164.0,164.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
164,1969,6,14,8920,166,6,1969-06-14,165.0,165.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
165,1969,6,15,8402,167,7,1969-06-15,166.0,166.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
166,1969,6,16,9744,168,1,1969-06-16,167.0,167.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
167,1969,6,17,10294,169,2,1969-06-17,168.0,168.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
168,1969,6,18,10220,170,3,1969-06-18,169.0,169.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
169,1969,6,19,9756,171,4,1969-06-19,170.0,170.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,1969,6,20,10424,172,5,1969-06-20,171.0,171.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171,1969,6,21,9034,173,6,1969-06-21,172.0,172.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
172,1969,6,22,8612,174,7,1969-06-22,173.0,173.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
173,1969,6,23,9880,175,1,1969-06-23,174.0,174.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174,1969,6,24,10624,176,2,1969-06-24,175.0,175.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,1969,6,25,10466,177,3,1969-06-25,176.0,176.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
176,1969,6,26,10344,178,4,1969-06-26,177.0,177.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
177,1969,6,27,10776,179,5,1969-06-27,178.0,178.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178,1969,6,28,9566,180,6,1969-06-28,179.0,179.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
179,1969,6,29,8800,181,7,1969-06-29,180.0,180.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
180,1969,6,30,10588,182,1,1969-06-30,181.0,181.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
181,1969,7,1,11146,183,2,1969-07-01,182.0,182.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
182,1969,7,2,10758,184,3,1969-07-02,183.0,183.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
183,1969,7,3,10562,185,4,1969-07-03,184.0,184.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184,1969,7,4,9168,186,5,1969-07-04,185.0,185.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
185,1969,7,5,9248,187,6,1969-07-05,186.0,186.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
186,1969,7,6,8860,188,7,1969-07-06,187.0,187.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
187,1969,7,7,10634,189,1,1969-07-07,188.0,188.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
188,1969,7,8,10842,190,2,1969-07-08,189.0,189.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
189,1969,7,9,10576,191,3,1969-07-09,190.0,190.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
190,1969,7,10,10562,192,4,1969-07-10,191.0,191.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
191,1969,7,11,10686,193,5,1969-07-11,192.0,192.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
192,1969,7,12,9472,194,6,1969-07-12,193.0,193.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
193,1969,7,13,8978,195,7,1969-07-13,194.0,194.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
194,1969,7,14,10242,196,1,1969-07-14,195.0,195.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
195,1969,7,15,11296,197,2,1969-07-15,196.0,196.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
196,1969,7,16,10698,198,3,1969-07-16,197.0,197.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,1969,7,17,10668,199,4,1969-07-17,198.0,198.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
198,1969,7,18,10632,200,5,1969-07-18,199.0,199.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
199,1969,7,19,9674,201,6,1969-07-19,200.0,200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
200,1969,7,20,8940,202,7,1969-07-20,201.0,201.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
201,1969,7,21,10196,203,1,1969-07-21,202.0,202.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
202,1969,7,22,11040,204,2,1969-07-22,203.0,203.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
203,1969,7,23,10468,205,3,1969-07-23,204.0,204.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
204,1969,7,24,10430,206,4,1969-07-24,205.0,205.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
205,1969,7,25,10688,207,5,1969-07-25,206.0,206.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
206,1969,7,26,9786,208,6,1969-07-26,207.0,207.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
207,1969,7,27,9408,209,7,1969-07-27,208.0,208.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
208,1969,7,28,10548,210,1,1969-07-28,209.0,209.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
209,1969,7,29,11102,211,2,1969-07-29,210.0,210.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
210,1969,7,30,10634,212,3,1969-07-30,211.0,211.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
211,1969,7,31,10346,213,4,1969-07-31,212.0,212.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
212,1969,8,1,10730,214,5,1969-08-01,213.0,213.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
213,1969,8,2,9982,215,6,1969-08-02,214.0,214.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
214,1969,8,3,9082,216,7,1969-08-03,215.0,215.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
215,1969,8,4,10450,217,1,1969-08-04,216.0,216.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
216,1969,8,5,10944,218,2,1969-08-05,217.0,217.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
217,1969,8,6,10852,219,3,1969-08-06,218.0,218.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
218,1969,8,7,10382,220,4,1969-08-07,219.0,219.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
219,1969,8,8,11302,221,5,1969-08-08,220.0,220.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
220,1969,8,9,10092,222,6,1969-08-09,221.0,221.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
221,1969,8,10,9106,223,7,1969-08-10,222.0,222.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
222,1969,8,11,10706,224,1,1969-08-11,223.0,223.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
223,1969,8,12,11138,225,2,1969-08-12,224.0,224.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
224,1969,8,13,10802,226,3,1969-08-13,225.0,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
225,1969,8,14,10726,227,4,1969-08-14,226.0,226.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
226,1969,8,15,10910,228,5,1969-08-15,227.0,227.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
227,1969,8,16,9772,229,6,1969-08-16,228.0,228.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
228,1969,8,17,9124,230,7,1969-08-17,229.0,229.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
229,1969,8,18,10650,231,1,1969-08-18,230.0,230.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
230,1969,8,19,11410,232,2,1969-08-19,231.0,231.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
231,1969,8,20,10918,233,3,1969-08-20,232.0,232.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
232,1969,8,21,10184,234,4,1969-08-21,233.0,233.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
